OCID,CONTRACT_TITLE,PROCUREMENT_METHOD,BUYER_NAME,SUPPLIER_NAMES,,,CONTRACT_AMOUNT,CONTRACT_CURRENCY
ocds-0ud2q6-AA-931045999-E164-2016,AAPS-JAPAY-022-2016,direct,YUC-Junta de Agua Potable y Alcantarillado de Yucatán,"EXCELENCIA EN BOMBAS Y SISTEMAS, S.A. DE C.V.",,,248917,MXN
ocds-0ud2q6-AO-930007995-E82-2016,ESTUDIO PARA EL PROYECTO DE INFRAESTRUCTURA PARA UNA MEJOR CONECTIVIDAD ENTRE LOS MARGENES DEL RIO COATZACOALCOS PARA LA MEJORA DEL TRANSPORTE DE CARGA Y EL FORTALECIMIENTO DEL CLUSTER DEL CORREDOR INTEROCEANICO DEL ISTMO EN LOS MUNICIPIOS DE COATACOALCOS,direct,VER-Secretaria de Infraestructura y Obras Públicas,"CAL Y MAYOR Y ASOCIADOS, S.C.",,,7692730.6,MXN
ocds-0ud2q6-AO-930007995-E66-2017,"ESTUDIO DE PREINVERSION PARA EL DESARROLLO DEL EJE PEROTE - NAUTLA EN LOS MUNICIPIOS DE PEROTE, JALANCINGO, ATZALAN, TLAPACOYAN, MARTINEZ DE LA TORRE, SAN RAFAEL, NAUTLA, EN EL ESTADO DE VERACRUZ",direct,VER-Secretaria de Infraestructura y Obras Públicas,"CAL Y MAYOR Y ASOCIADOS, S.C.",,,8592485.34,MXN
ocds-0ud2q6-AO-930007995-E83-2016,"ESTUDIO SOBRE LA NECESIDAD DE INFRAESTRUCTURA BASICA Y MOVILIDAD EN LOS MUNICIPIOS DE ALVARADO, BOCA DEL RIO, COATZACOALCOS Y VERACRUZ EN LOS MUNICIPIO DE ALVARADO, BOCA DEL RIO, COATZACOALCOS Y VERACRUZ EN EL ESTADO DE VERACRUZ",direct,VER-Secretaria de Infraestructura y Obras Públicas,"CAL Y MAYOR Y ASOCIADOS, S.C.",,,5123319.84,MXN
ocds-0ud2q6-IA-930033918-N1-2014,ADQUISICIÓN DE MICROMEDIDORES (MEJORAMIENTO DE EFICIENCIA COMERCIAL),limited,VER-Comisión del Agua del Estado de Veracruz,"BERMAD MEXICO, S.A. DE C.V.",,,794300,MXN
ocds-0ud2q6-IA-930033918-N70-2013,ADQUISICIÓN DE MACROMEDIDORES,limited,VER-Comisión del Agua del Estado de Veracruz,"BERMAD MEXICO, S.A. DE C.V.",,,1062897,MXN
ocds-0ud2q6-51091001-013-10,"Adquisiciýn de equipos para laboratorios de quýmica, termodinýmica, transferencia de calor, metalurgia, mecýnica de fluidos y resistencia de materiales 2ý Etapa",open,UNIVERSIDAD NACIONAL AERONÁUTICA EN QUERÉTARO,"PRAXAIR MÉXICO, S.DE R.L. DE C.V.",,,280285,MXN
ocds-0ud2q6-51091001-001-11,"Adquisición de Equipos para Laboratorios y Aviónica 1ª y 2ª Etapa, 2ª Vuelta",open,UNIVERSIDAD NACIONAL AERONÁUTICA EN QUERÉTARO,"PRAXAIR MÉXICO, S.DE R.L. DE C.V.",,,217248.6,MXN
ocds-0ud2q6-55089003-003-09,"Construccion de Edificio de Biblioteca y Centro de Computo en UNISON, Campus Caborca",open,UNIVERSIDAD DE SONORA,"BUFETE DE INGENIERÍA DE SONORA, S.A. DE C.V.",,,5431262.8,MXN
ocds-0ud2q6-LO-927074936-N2-2014,Contrato de Prestación de Servicios Relacionados con la Obra Publica lo-927074936-N2-2014,open,TAB-Coordinación General de Desarrollo Regional y Proyectos Estratégicos,"CAL Y MAYOR Y ASOCIADOS, S.C.",,,8620531.13,MXN
